"","AnalyteGroup","AnalyteGroupSimple","Analyte","AnalyteFull","Tshd_Area_TICA_perc25","Tshd_Area_TICA_perc50","Tshd_Area_TICA_perc75","Tshd_Area_TICA_perc90"
"276","Triton 101 ","Triton 101 ","(C2H4O)20 NH4","Triton 101 _(C2H4O)20 NH4",5.5e-05,0.00015,0.00049,0.0011
"277","Triton 101 ","Triton 101 ","(C2H4O)3 H","Triton 101 _(C2H4O)3 H",5.9e-05,0.00022,0.00071,0.0019
"278","Triton 101 ","Triton 101 ","(C2H4O)3 Na","Triton 101 _(C2H4O)3 Na",0.00028,0.0012,0.0028,0.0041
"279","Triton 101 ","Triton 101 ","(C2H4O)3 NH4","Triton 101 _(C2H4O)3 NH4",2.5e-05,8.4e-05,0.00024,0.00098
"280","Triton 101 ","Triton 101 ","(C2H4O)4 H","Triton 101 _(C2H4O)4 H",3e-05,8.7e-05,0.00029,9e-04
"281","Triton 101 ","Triton 101 ","(C2H4O)4 Na","Triton 101 _(C2H4O)4 Na",3e-04,8e-04,0.0018,0.0036
"282","Triton 101 ","Triton 101 ","(C2H4O)4 NH4","Triton 101 _(C2H4O)4 NH4",3.3e-05,9.6e-05,0.00038,0.0011
"283","Triton 101 ","Triton 101 ","(C2H4O)5 H","Triton 101 _(C2H4O)5 H",0.00018,0.00047,0.0015,0.0038
"284","Triton 101 ","Triton 101 ","(C2H4O)5 Na","Triton 101 _(C2H4O)5 Na",0.00031,0.00096,0.0031,0.0082
"285","Triton 101 ","Triton 101 ","(C2H4O)5 NH4","Triton 101 _(C2H4O)5 NH4",3.5e-05,0.00011,0.00041,0.0013
"286","Triton 101 ","Triton 101 ","(C2H4O)6 H","Triton 101 _(C2H4O)6 H",3e-04,0.0011,0.003,0.0073
"287","Triton 101 ","Triton 101 ","(C2H4O)6 Na","Triton 101 _(C2H4O)6 Na",6e-04,0.001,0.0018,0.0066
"288","Triton 101 ","Triton 101 ","(C2H4O)6 NH4","Triton 101 _(C2H4O)6 NH4",9.1e-05,0.00031,0.001,0.0031
"289","Triton 101 ","Triton 101 ","(C2H4O)7 H","Triton 101 _(C2H4O)7 H",0.00042,0.0011,0.0026,0.0074
"290","Triton 101 ","Triton 101 ","(C2H4O)7 Na","Triton 101 _(C2H4O)7 Na",0.00018,3e-04,9e-04,0.0043
"291","Triton 101 ","Triton 101 ","(C2H4O)7 NH4","Triton 101 _(C2H4O)7 NH4",4.4e-05,0.00027,0.00097,0.0036
"292","Triton 101 ","Triton 101 ","(C2H4O)8 H","Triton 101 _(C2H4O)8 H",9.8e-05,0.00032,0.00081,0.002
"293","Triton 101 ","Triton 101 ","(C2H4O)8 Na","Triton 101 _(C2H4O)8 Na",9.5e-05,0.00017,0.00046,0.0025
"294","Triton 101 ","Triton 101 ","(C2H4O)8 NH4","Triton 101 _(C2H4O)8 NH4",6.7e-05,0.00039,0.0014,0.005
"295","Triton 101 ","Triton 101 ","(C2H4O)9 H","Triton 101 _(C2H4O)9 H",0.0033,0.013,0.032,0.089
"296","Triton 101 ","Triton 101 ","(C2H4O)9 Na","Triton 101 _(C2H4O)9 Na",2.9e-05,7.7e-05,0.00029,0.0015
"297","Triton 101 ","Triton 101 ","(C2H4O)9 NH4","Triton 101 _(C2H4O)9 NH4",5.1e-05,0.00023,0.00081,0.0031
"298","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)10","Triton 101 Reduced _(C2H4O)10",2.6e-05,7.9e-05,0.00017,0.00037
"299","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)11","Triton 101 Reduced _(C2H4O)11",1.1e-05,4.3e-05,0.00011,0.00025
"300","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)12","Triton 101 Reduced _(C2H4O)12",4e-05,8.5e-05,0.00028,8e-04
"301","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)13","Triton 101 Reduced _(C2H4O)13",4.6e-05,0.00011,0.00027,0.00076
"302","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)14","Triton 101 Reduced _(C2H4O)14",3.1e-05,7.5e-05,0.00015,5e-04
"303","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)15","Triton 101 Reduced _(C2H4O)15",2.5e-05,6.3e-05,0.00019,6e-04
"304","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)16","Triton 101 Reduced _(C2H4O)16",0.00014,0.00047,0.0011,0.0024
"305","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)17","Triton 101 Reduced _(C2H4O)17",3.9e-05,9.6e-05,0.00028,0.00053
"306","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)18","Triton 101 Reduced _(C2H4O)18",5.2e-05,0.00032,0.0012,0.0023
"307","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)19","Triton 101 Reduced _(C2H4O)19",9.4e-05,0.00035,0.0014,0.0059
"308","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)20","Triton 101 Reduced _(C2H4O)20",4.1e-05,0.00012,0.00025,0.00063
"309","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)3","Triton 101 Reduced _(C2H4O)3",1.2e-05,0.00012,0.00087,0.0066
"310","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)4","Triton 101 Reduced _(C2H4O)4",1.6e-06,4.5e-06,1.2e-05,4.3e-05
"311","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)5","Triton 101 Reduced _(C2H4O)5",3e-06,7.5e-06,1.6e-05,5.1e-05
"312","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)6","Triton 101 Reduced _(C2H4O)6",8.6e-06,1.6e-05,4e-05,0.00018
"313","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)7","Triton 101 Reduced _(C2H4O)7",6.1e-06,1.9e-05,4.5e-05,0.00011
"314","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)8","Triton 101 Reduced _(C2H4O)8",5.7e-06,1.5e-05,4.6e-05,1e-04
"315","Triton 101 Reduced ","Triton 101 Reduced ","(C2H4O)9","Triton 101 Reduced _(C2H4O)9",1.6e-05,4.4e-05,0.00013,0.00026
"316","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)10","Triton X-100 Reduced _(C2H4O)10",8.5e-06,2.5e-05,7.1e-05,0.00041
"317","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)11","Triton X-100 Reduced _(C2H4O)11",6.5e-05,0.00018,0.00043,0.0013
"318","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)12","Triton X-100 Reduced _(C2H4O)12",4e-05,0.00012,0.00046,0.0018
"319","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)13","Triton X-100 Reduced _(C2H4O)13",3.1e-05,0.00012,0.00033,0.00086
"320","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)14","Triton X-100 Reduced _(C2H4O)14",1.1e-05,4.5e-05,0.00016,0.00091
"321","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)15","Triton X-100 Reduced _(C2H4O)15",6.6e-05,0.00014,0.00032,0.0014
"322","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)16","Triton X-100 Reduced _(C2H4O)16",9.3e-05,0.00026,0.00058,0.001
"323","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)17","Triton X-100 Reduced _(C2H4O)17",2.4e-05,5.2e-05,0.00014,3e-04
"324","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)18","Triton X-100 Reduced _(C2H4O)18",5.7e-05,0.00014,0.00033,0.001
"325","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)19","Triton X-100 Reduced _(C2H4O)19",4.1e-05,0.00012,0.00024,0.00047
"326","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)20","Triton X-100 Reduced _(C2H4O)20",3.9e-05,9.6e-05,0.00025,0.00089
"327","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)3","Triton X-100 Reduced _(C2H4O)3",1.7e-05,3.1e-05,6.5e-05,0.00012
"328","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)4","Triton X-100 Reduced _(C2H4O)4",9.1e-06,2.7e-05,5.6e-05,0.00018
"329","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)5","Triton X-100 Reduced _(C2H4O)5",6.7e-06,1.7e-05,6.1e-05,0.00017
"330","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)6","Triton X-100 Reduced _(C2H4O)6",3.1e-06,9.4e-06,2.6e-05,7.1e-05
"331","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)7","Triton X-100 Reduced _(C2H4O)7",8.7e-06,2.6e-05,6.6e-05,0.00013
"332","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)8","Triton X-100 Reduced _(C2H4O)8",8.1e-06,1.7e-05,4e-05,0.00012
"333","Triton X-100 Reduced ","Triton X-100 Reduced ","(C2H4O)9","Triton X-100 Reduced _(C2H4O)9",4.6e-06,1.5e-05,4.7e-05,0.00013
"334","Triton X-100","Triton X-100","(C2H4O)10","Triton X-100_(C2H4O)10",0.00027,0.00074,0.0015,0.0045
"335","Triton X-100","Triton X-100","(C2H4O)10 Na","Triton X-100_(C2H4O)10 Na",0.00071,0.0013,0.0021,0.0029
"336","Triton X-100","Triton X-100","(C2H4O)10 NH4","Triton X-100_(C2H4O)10 NH4",0.00015,0.00043,0.0012,0.0036
"337","Triton X-100","Triton X-100","(C2H4O)11","Triton X-100_(C2H4O)11",4.5e-05,0.00014,0.00051,0.0021
"338","Triton X-100","Triton X-100","(C2H4O)11 Na","Triton X-100_(C2H4O)11 Na",0.00022,0.00048,0.0011,0.0022
"339","Triton X-100","Triton X-100","(C2H4O)11 NH4","Triton X-100_(C2H4O)11 NH4",1e-04,0.00025,0.00068,0.0021
"340","Triton X-100","Triton X-100","(C2H4O)12","Triton X-100_(C2H4O)12",4.4e-05,0.00012,5e-04,0.0017
"341","Triton X-100","Triton X-100","(C2H4O)12 Na","Triton X-100_(C2H4O)12 Na",0.00018,3e-04,0.00063,0.0011
"342","Triton X-100","Triton X-100","(C2H4O)12 NH4","Triton X-100_(C2H4O)12 NH4",0.00012,0.00035,0.0012,0.005
"343","Triton X-100","Triton X-100","(C2H4O)13","Triton X-100_(C2H4O)13",3.7e-05,9.1e-05,0.00041,0.00081
"344","Triton X-100","Triton X-100","(C2H4O)13 Na","Triton X-100_(C2H4O)13 Na",3e-04,0.00068,0.0011,0.002
"345","Triton X-100","Triton X-100","(C2H4O)13 NH4","Triton X-100_(C2H4O)13 NH4",9.7e-05,0.00021,0.00041,0.0012
"346","Triton X-100","Triton X-100","(C2H4O)14","Triton X-100_(C2H4O)14",2e-05,6.1e-05,0.00023,0.00052
"347","Triton X-100","Triton X-100","(C2H4O)14 Na","Triton X-100_(C2H4O)14 Na",0.00079,0.0017,0.0033,0.015
"348","Triton X-100","Triton X-100","(C2H4O)14 NH4","Triton X-100_(C2H4O)14 NH4",6.4e-05,0.00019,0.00039,0.001
"349","Triton X-100","Triton X-100","(C2H4O)15","Triton X-100_(C2H4O)15",3.1e-05,9e-05,0.00022,0.00049
"350","Triton X-100","Triton X-100","(C2H4O)15 Na","Triton X-100_(C2H4O)15 Na",4.8e-05,0.00012,0.00032,0.001
"351","Triton X-100","Triton X-100","(C2H4O)15 NH4","Triton X-100_(C2H4O)15 NH4",2.1e-05,4.6e-05,0.00012,0.00048
"352","Triton X-100","Triton X-100","(C2H4O)16","Triton X-100_(C2H4O)16",1.4e-05,3.5e-05,8.5e-05,0.00028
"353","Triton X-100","Triton X-100","(C2H4O)16 Na","Triton X-100_(C2H4O)16 Na",8.2e-05,0.00054,0.0017,0.003
"354","Triton X-100","Triton X-100","(C2H4O)16 NH4","Triton X-100_(C2H4O)16 NH4",0.00014,0.00037,0.0016,0.0045
"355","Triton X-100","Triton X-100","(C2H4O)17","Triton X-100_(C2H4O)17",7e-05,0.00045,0.0012,0.0023
"356","Triton X-100","Triton X-100","(C2H4O)17 Na","Triton X-100_(C2H4O)17 Na",0.00015,5e-04,0.0015,0.0024
"357","Triton X-100","Triton X-100","(C2H4O)17 NH4","Triton X-100_(C2H4O)17 NH4",5.8e-05,0.00027,0.00076,0.0017
"358","Triton X-100","Triton X-100","(C2H4O)18","Triton X-100_(C2H4O)18",3.2e-05,0.00023,0.00047,0.00071
"359","Triton X-100","Triton X-100","(C2H4O)18 Na","Triton X-100_(C2H4O)18 Na",1.4e-05,4.9e-05,2e-04,5e-04
"360","Triton X-100","Triton X-100","(C2H4O)18 NH4","Triton X-100_(C2H4O)18 NH4",4.2e-05,0.00013,0.00066,0.0037
"361","Triton X-100","Triton X-100","(C2H4O)19","Triton X-100_(C2H4O)19",5e-05,0.00021,0.00072,0.0019
"362","Triton X-100","Triton X-100","(C2H4O)19 Na","Triton X-100_(C2H4O)19 Na",2.5e-05,7.8e-05,0.00022,0.00063
"363","Triton X-100","Triton X-100","(C2H4O)20","Triton X-100_(C2H4O)20",3e-05,7.2e-05,0.00022,0.0013
"364","Triton X-100","Triton X-100","(C2H4O)20 Na","Triton X-100_(C2H4O)20 Na",1.8e-05,4.8e-05,0.00013,3e-04
"365","Triton X-100","Triton X-100","(C2H4O)3 Na","Triton X-100_(C2H4O)3 Na",4e-04,0.0011,0.0027,0.0058
"366","Triton X-100","Triton X-100","(C2H4O)3 NH4","Triton X-100_(C2H4O)3 NH4",3.5e-05,1e-04,0.00026,0.0014
"367","Triton X-100","Triton X-100","(C2H4O)4","Triton X-100_(C2H4O)4",4.4e-05,0.00013,0.00031,0.00074
"368","Triton X-100","Triton X-100","(C2H4O)4 Na","Triton X-100_(C2H4O)4 Na",0.00024,0.00095,0.0039,0.0086
"369","Triton X-100","Triton X-100","(C2H4O)4 NH4","Triton X-100_(C2H4O)4 NH4",2.6e-05,6.2e-05,0.00016,0.00047
"370","Triton X-100","Triton X-100","(C2H4O)5","Triton X-100_(C2H4O)5",0.00037,0.001,0.0034,0.0074
"371","Triton X-100","Triton X-100","(C2H4O)5 Na","Triton X-100_(C2H4O)5 Na",0.00087,0.0017,0.0031,0.0047
"372","Triton X-100","Triton X-100","(C2H4O)5 NH4","Triton X-100_(C2H4O)5 NH4",5.7e-05,0.00017,0.00055,0.0017
"373","Triton X-100","Triton X-100","(C2H4O)6","Triton X-100_(C2H4O)6",0.00043,0.0012,0.0039,0.01
"374","Triton X-100","Triton X-100","(C2H4O)6 Na","Triton X-100_(C2H4O)6 Na",0.0032,0.0058,0.012,0.022
"375","Triton X-100","Triton X-100","(C2H4O)6 NH4","Triton X-100_(C2H4O)6 NH4",1e-04,0.00025,0.00069,0.0024
"376","Triton X-100","Triton X-100","(C2H4O)7","Triton X-100_(C2H4O)7",0.00016,0.00057,0.0032,0.0074
"377","Triton X-100","Triton X-100","(C2H4O)7 Na","Triton X-100_(C2H4O)7 Na",0.001,0.002,0.0037,0.0068
"378","Triton X-100","Triton X-100","(C2H4O)7 NH4","Triton X-100_(C2H4O)7 NH4",0.00015,0.00038,0.00092,0.0036
"379","Triton X-100","Triton X-100","(C2H4O)8","Triton X-100_(C2H4O)8",8.8e-05,0.00024,0.0011,0.0077
"380","Triton X-100","Triton X-100","(C2H4O)8 Na","Triton X-100_(C2H4O)8 Na",0.00013,0.00024,0.00046,0.00084
"381","Triton X-100","Triton X-100","(C2H4O)8 NH4","Triton X-100_(C2H4O)8 NH4",0.00011,0.00028,0.00089,0.0026
"382","Triton X-100","Triton X-100","(C2H4O)9","Triton X-100_(C2H4O)9",0.00012,3e-04,0.0014,0.0064
"383","Triton X-100","Triton X-100","(C2H4O)9 Na","Triton X-100_(C2H4O)9 Na",0.00019,0.00053,0.0012,0.0027
"384","Triton X-100","Triton X-100","(C2H4O)9 NH4","Triton X-100_(C2H4O)9 NH4",0.00015,0.00044,0.0011,0.0034
"385","Tween 20","Tween 20","(C2H4O) 10 ","Tween 20_(C2H4O) 10 ",7.5e-05,0.00023,0.00048,0.0015
"386","Tween 20","Tween 20","(C2H4O) 10 HN4","Tween 20_(C2H4O) 10 HN4",1.8e-05,6.6e-05,0.00021,0.0013
"387","Tween 20","Tween 20","(C2H4O) 10 Na","Tween 20_(C2H4O) 10 Na",2e-04,0.00039,0.0022,0.0046
"388","Tween 20","Tween 20","(C2H4O) 11 ","Tween 20_(C2H4O) 11 ",0.00013,0.00054,0.0013,0.0026
"389","Tween 20","Tween 20","(C2H4O) 11 HN4","Tween 20_(C2H4O) 11 HN4",8.6e-06,2.1e-05,6.1e-05,3e-04
"390","Tween 20","Tween 20","(C2H4O) 11 Na","Tween 20_(C2H4O) 11 Na",0.00097,0.0037,0.012,0.026
"391","Tween 20","Tween 20","(C2H4O) 12 ","Tween 20_(C2H4O) 12 ",3.5e-05,0.00016,0.00044,0.00069
"392","Tween 20","Tween 20","(C2H4O) 12 HN4","Tween 20_(C2H4O) 12 HN4",2.1e-05,6.2e-05,0.00016,0.00031
"393","Tween 20","Tween 20","(C2H4O) 12 Na","Tween 20_(C2H4O) 12 Na",0.0014,0.0083,0.019,0.036
"394","Tween 20","Tween 20","(C2H4O) 13 ","Tween 20_(C2H4O) 13 ",3.4e-05,9.4e-05,0.00024,0.00091
"395","Tween 20","Tween 20","(C2H4O) 13 HN4","Tween 20_(C2H4O) 13 HN4",3.6e-05,8.7e-05,0.00026,0.0012
"396","Tween 20","Tween 20","(C2H4O) 13 Na","Tween 20_(C2H4O) 13 Na",0.00023,0.0014,0.004,0.01
"397","Tween 20","Tween 20","(C2H4O) 14 ","Tween 20_(C2H4O) 14 ",2.5e-05,8e-05,0.00018,0.00057
"398","Tween 20","Tween 20","(C2H4O) 14 HN4","Tween 20_(C2H4O) 14 HN4",7e-05,0.00028,0.00095,0.0023
"399","Tween 20","Tween 20","(C2H4O) 14 Na","Tween 20_(C2H4O) 14 Na",0.00018,0.00047,0.00098,0.0019
"400","Tween 20","Tween 20","(C2H4O) 15 ","Tween 20_(C2H4O) 15 ",2e-05,4.4e-05,1e-04,0.00022
"401","Tween 20","Tween 20","(C2H4O) 15 HN4","Tween 20_(C2H4O) 15 HN4",3.5e-05,0.00012,0.00026,0.00054
"402","Tween 20","Tween 20","(C2H4O) 15 Na","Tween 20_(C2H4O) 15 Na",8.2e-05,0.00018,0.00035,0.00084
"403","Tween 20","Tween 20","(C2H4O) 16 ","Tween 20_(C2H4O) 16 ",3.5e-05,0.00014,0.00037,0.00078
"404","Tween 20","Tween 20","(C2H4O) 16 HN4","Tween 20_(C2H4O) 16 HN4",3.4e-05,0.00012,0.00037,0.00092
"405","Tween 20","Tween 20","(C2H4O) 16 Na","Tween 20_(C2H4O) 16 Na",1.9e-05,5e-05,0.00017,0.00042
"406","Tween 20","Tween 20","(C2H4O) 17 ","Tween 20_(C2H4O) 17 ",2.6e-05,6.7e-05,0.00021,0.00077
"407","Tween 20","Tween 20","(C2H4O) 17 HN4","Tween 20_(C2H4O) 17 HN4",3.6e-05,8e-05,2e-04,5e-04
"408","Tween 20","Tween 20","(C2H4O) 17 Na","Tween 20_(C2H4O) 17 Na",1.5e-05,4e-05,8.7e-05,0.00021
"409","Tween 20","Tween 20","(C2H4O) 18 ","Tween 20_(C2H4O) 18 ",9.5e-06,3.6e-05,0.00015,0.00089
"410","Tween 20","Tween 20","(C2H4O) 18 HN4","Tween 20_(C2H4O) 18 HN4",2.7e-05,7e-05,0.00019,0.00057
"411","Tween 20","Tween 20","(C2H4O) 18 Na","Tween 20_(C2H4O) 18 Na",2.1e-05,4.5e-05,0.00017,0.0012
"412","Tween 20","Tween 20","(C2H4O) 19 ","Tween 20_(C2H4O) 19 ",3e-05,7.5e-05,2e-04,0.0037
"413","Tween 20","Tween 20","(C2H4O) 19 HN4","Tween 20_(C2H4O) 19 HN4",3.4e-05,6.3e-05,0.00019,0.00051
"414","Tween 20","Tween 20","(C2H4O) 19 Na","Tween 20_(C2H4O) 19 Na",1.2e-05,3.2e-05,9.3e-05,0.00023
"415","Tween 20","Tween 20","(C2H4O) 20 ","Tween 20_(C2H4O) 20 ",2e-05,4.8e-05,0.00011,0.00045
"416","Tween 20","Tween 20","(C2H4O) 20 HN4","Tween 20_(C2H4O) 20 HN4",3e-05,7.5e-05,0.00017,0.00036
"417","Tween 20","Tween 20","(C2H4O) 20 Na","Tween 20_(C2H4O) 20 Na",1.6e-05,0.00017,0.00056,0.0017
"418","Tween 20","Tween 20","(C2H4O) 21 ","Tween 20_(C2H4O) 21 ",1.8e-05,5.4e-05,0.00017,0.00066
"419","Tween 20","Tween 20","(C2H4O) 21 HN4","Tween 20_(C2H4O) 21 HN4",0.00015,0.00041,0.0026,0.0038
"420","Tween 20","Tween 20","(C2H4O) 21 Na","Tween 20_(C2H4O) 21 Na",0.00029,0.0016,0.0036,0.0096
"421","Tween 20","Tween 20","(C2H4O) 22 ","Tween 20_(C2H4O) 22 ",2.8e-05,7.2e-05,0.00016,0.00034
"422","Tween 20","Tween 20","(C2H4O) 22 HN4","Tween 20_(C2H4O) 22 HN4",1.5e-05,3.3e-05,8.2e-05,0.00035
"423","Tween 20","Tween 20","(C2H4O) 22 Na","Tween 20_(C2H4O) 22 Na",5.3e-05,0.00015,0.00037,0.00085
"424","Tween 20","Tween 20","(C2H4O) 23 ","Tween 20_(C2H4O) 23 ",1.9e-05,3.9e-05,1e-04,0.00037
"425","Tween 20","Tween 20","(C2H4O) 23 HN4","Tween 20_(C2H4O) 23 HN4",1.2e-05,3.1e-05,8.9e-05,0.00036
"426","Tween 20","Tween 20","(C2H4O) 23 Na","Tween 20_(C2H4O) 23 Na",1.1e-05,2.9e-05,7.3e-05,0.00018
"427","Tween 20","Tween 20","(C2H4O) 24 ","Tween 20_(C2H4O) 24 ",1.7e-05,6.2e-05,0.00034,0.001
"428","Tween 20","Tween 20","(C2H4O) 24 HN4","Tween 20_(C2H4O) 24 HN4",3.8e-05,0.00017,0.00065,0.0021
"429","Tween 20","Tween 20","(C2H4O) 24 Na","Tween 20_(C2H4O) 24 Na",1.5e-05,3.1e-05,7.1e-05,0.00027
"430","Tween 20","Tween 20","(C2H4O) 25 ","Tween 20_(C2H4O) 25 ",2.3e-05,7.7e-05,0.00025,0.00094
"431","Tween 20","Tween 20","(C2H4O) 25 HN4","Tween 20_(C2H4O) 25 HN4",2.2e-05,5.6e-05,9.2e-05,0.00017
"432","Tween 20","Tween 20","(C2H4O) 25 Na","Tween 20_(C2H4O) 25 Na",1.6e-05,4.2e-05,0.00012,0.00033
"433","Tween 20","Tween 20","(C2H4O) 26 ","Tween 20_(C2H4O) 26 ",1e-05,2.5e-05,7.4e-05,0.00019
"434","Tween 20","Tween 20","(C2H4O) 26 HN4","Tween 20_(C2H4O) 26 HN4",0.00039,0.00091,0.0017,0.0024
"435","Tween 20","Tween 20","(C2H4O) 26 Na","Tween 20_(C2H4O) 26 Na",0.00014,0.0075,0.015,0.018
"436","Tween 20","Tween 20","(C2H4O) 27 ","Tween 20_(C2H4O) 27 ",0.00021,0.0012,0.0025,0.0033
"437","Tween 20","Tween 20","(C2H4O) 27 HN4","Tween 20_(C2H4O) 27 HN4",7.7e-05,0.0024,0.0048,0.011
"438","Tween 20","Tween 20","(C2H4O) 27 Na","Tween 20_(C2H4O) 27 Na",8.7e-05,0.00073,0.0013,0.0017
"439","Tween 20","Tween 20","(C2H4O) 28 ","Tween 20_(C2H4O) 28 ",1e-04,0.00053,0.0046,0.0079
"440","Tween 20","Tween 20","(C2H4O) 28 HN4","Tween 20_(C2H4O) 28 HN4",2e-05,0.002,0.0031,0.0045
"441","Tween 40","Tween 40","(C2H4O) 10 ","Tween 40_(C2H4O) 10 ",2.8e-05,7.3e-05,0.00024,0.00068
"442","Tween 40","Tween 40","(C2H4O) 10 HN4","Tween 40_(C2H4O) 10 HN4",6.8e-05,0.00027,0.00063,0.0012
"443","Tween 40","Tween 40","(C2H4O) 10 Na","Tween 40_(C2H4O) 10 Na",1e-05,3e-05,7.6e-05,0.00019
"444","Tween 40","Tween 40","(C2H4O) 11 ","Tween 40_(C2H4O) 11 ",1.5e-05,5.2e-05,0.00014,0.00032
"445","Tween 40","Tween 40","(C2H4O) 11 HN4","Tween 40_(C2H4O) 11 HN4",4e-05,0.00011,3e-04,0.00074
"446","Tween 40","Tween 40","(C2H4O) 11 Na","Tween 40_(C2H4O) 11 Na",2.1e-05,4.2e-05,9e-05,0.00025
"447","Tween 40","Tween 40","(C2H4O) 12 ","Tween 40_(C2H4O) 12 ",0.00017,0.0019,0.0068,0.018
"448","Tween 40","Tween 40","(C2H4O) 12 HN4","Tween 40_(C2H4O) 12 HN4",8.9e-05,0.00025,0.00053,0.0011
"449","Tween 40","Tween 40","(C2H4O) 12 Na","Tween 40_(C2H4O) 12 Na",0.00023,0.0025,0.0075,0.013
"450","Tween 40","Tween 40","(C2H4O) 13 ","Tween 40_(C2H4O) 13 ",3e-05,7.4e-05,0.00019,0.00047
"451","Tween 40","Tween 40","(C2H4O) 13 HN4","Tween 40_(C2H4O) 13 HN4",4.1e-05,0.00013,0.00028,6e-04
"452","Tween 40","Tween 40","(C2H4O) 13 Na","Tween 40_(C2H4O) 13 Na",4.5e-05,0.00017,0.00086,0.011
"453","Tween 40","Tween 40","(C2H4O) 14 ","Tween 40_(C2H4O) 14 ",5.1e-05,0.00035,0.0013,0.0024
"454","Tween 40","Tween 40","(C2H4O) 14 HN4","Tween 40_(C2H4O) 14 HN4",5.7e-05,0.00023,0.0015,0.0057
"455","Tween 40","Tween 40","(C2H4O) 14 Na","Tween 40_(C2H4O) 14 Na",2.9e-05,7.4e-05,0.00023,0.0011
"456","Tween 40","Tween 40","(C2H4O) 15 ","Tween 40_(C2H4O) 15 ",9.6e-05,0.00029,0.00069,0.0014
"457","Tween 40","Tween 40","(C2H4O) 15 HN4","Tween 40_(C2H4O) 15 HN4",3.3e-05,9.3e-05,0.00018,0.00036
"458","Tween 40","Tween 40","(C2H4O) 15 Na","Tween 40_(C2H4O) 15 Na",8.2e-05,0.00015,0.00041,0.00079
"459","Tween 40","Tween 40","(C2H4O) 16 ","Tween 40_(C2H4O) 16 ",2.8e-05,6.6e-05,0.00018,0.00041
"460","Tween 40","Tween 40","(C2H4O) 16 HN4","Tween 40_(C2H4O) 16 HN4",5.1e-05,0.00014,0.00031,0.00065
"461","Tween 40","Tween 40","(C2H4O) 16 Na","Tween 40_(C2H4O) 16 Na",3.9e-05,0.00014,0.00028,0.00086
"462","Tween 40","Tween 40","(C2H4O) 17 ","Tween 40_(C2H4O) 17 ",3.7e-05,9.6e-05,0.00028,0.00084
"463","Tween 40","Tween 40","(C2H4O) 17 HN4","Tween 40_(C2H4O) 17 HN4",2.3e-05,5e-05,0.00013,0.00028
"464","Tween 40","Tween 40","(C2H4O) 17 Na","Tween 40_(C2H4O) 17 Na",1.2e-05,3.3e-05,8.1e-05,0.00026
"465","Tween 40","Tween 40","(C2H4O) 18 ","Tween 40_(C2H4O) 18 ",3.4e-05,0.00013,0.00028,0.00063
"466","Tween 40","Tween 40","(C2H4O) 18 HN4","Tween 40_(C2H4O) 18 HN4",2.8e-05,6.7e-05,0.00012,0.00035
"467","Tween 40","Tween 40","(C2H4O) 18 Na","Tween 40_(C2H4O) 18 Na",3.4e-05,7.5e-05,0.00019,0.00052
"468","Tween 40","Tween 40","(C2H4O) 19 ","Tween 40_(C2H4O) 19 ",0.00017,0.00094,0.0029,0.0075
"469","Tween 40","Tween 40","(C2H4O) 19 HN4","Tween 40_(C2H4O) 19 HN4",3.5e-05,0.00013,0.00038,0.00093
